"L1","L2","L3","DescriptorName"
"D","D01","D01.950","Uranium Compounds"
"D","D01","D01.960","Vanadium Compounds"
"D","D01","D01.975","Zinc Compounds"
"D","D02","D02.033","Alcohols"
"D","D02","D02.047","Aldehydes"
"D","D02","D02.065","Amides"
"D","D02","D02.078","Amidines"
"D","D02","D02.092","Amines"
"D","D02","D02.113","Anhydrides"
"D","D02","D02.145","Aza Compounds"
"D","D02","D02.159","Azides"
"D","D02","D02.172","Azo Compounds"
"D","D02","D02.203","Boron Compounds"
"D","D02","D02.241","Carboxylic Acids"
"D","D02","D02.251","Catenanes"
"D","D02","D02.256","Coordination Complexes"
"D","D02","D02.262","Cyanates"
"D","D02","D02.355","Ethers"
"D","D02","D02.389","Free Radicals"
"D","D02","D02.442","Hydrazines"
"D","D02","D02.455","Hydrocarbons"
"D","D02","D02.478","Imides"
"D","D02","D02.491","Imines"
"D","D02","D02.500","Isocyanates"
"D","D02","D02.522","Ketones"
"D","D02","D02.540","Lactones"
"D","D02","D02.561","Lewis Acids"
"D","D02","D02.572","Lewis Bases"
"D","D02","D02.583","Nitrates"
"D","D02","D02.626","Nitriles"
"D","D02","D02.633","Nitrites"
"D","D02","D02.640","Nitro Compounds"
"D","D02","D02.654","Nitroso Compounds"
"D","D02","D02.675","Onium Compounds"
"D","D02","D02.691","Organometallic Compounds"
"D","D02","D02.705","Organophosphorus Compounds"
"D","D02","D02.712","Organoselenium Compounds"
"D","D02","D02.715","Organosilicon Compounds"
"D","D02","D02.737","Peroxides"
"D","D02","D02.806","Quinones"
"D","D02","D02.825","Rotaxanes"
"D","D02","D02.845","Semicarbazides"
"D","D02","D02.886","Sulfur Compounds"
"D","D02","D02.925","Triazenes"
"D","D02","D02.948","Urea"
"D","D02","D02.974","Volatile Organic Compounds"
"D","D03","D03.066","Acids, Heterocyclic"
"D","D03","D03.132","Alkaloids"
"D","D03","D03.383","Heterocyclic Compounds, 1-Ring"
"D","D03","D03.438","Heterocyclic Compounds, 2-Ring"
"D","D03","D03.494","Heterocyclic Compounds, 3-Ring"
"D","D03","D03.549","Heterocyclic Compounds with 4 or More Rings"
"D","D03","D03.605","Heterocyclic Compounds, Bridged-Ring"
"D","D03","D03.661","Heterocyclic Oxides"
"D","D03","D03.787","Phytochemicals"
"D","D03","D03.830","Pyrans"
"D","D03","D03.915","Spiro Compounds"
"D","D04","D04.075","Bridged Compounds"
"D","D04","D04.345","Macrocyclic Compounds"
"D","D04","D04.615","Polycyclic Hydrocarbons, Aromatic"
"D","D04","D04.711","Spiro Compounds"
"D","D04","D04.808","Steroids"
"D","D05","D05.374","Micelles"
"D","D05","D05.500","Multiprotein Complexes"
"D","D05","D05.750","Polymers"
"D","D05","D05.875","Protein Aggregates"
"D","D06","D06.347","Hormone Antagonists"
"D","D06","D06.472","Hormones"
"D","D08","D08.211","Coenzymes"
"D","D08","D08.244","Cytochromes"
"D","D08","D08.622","Enzyme Precursors"
"D","D08","D08.811","Enzymes"
"D","D09","D09.067","Amino Sugars"
"D","D09","D09.254","Deoxy Sugars"
"D","D09","D09.301","Dietary Carbohydrates"
"D","D09","D09.400","Glycoconjugates"
"D","D09","D09.408","Glycosides"
"D","D09","D09.546","Monosaccharides"
"D","D09","D09.698","Polysaccharides"
"D","D09","D09.811","Sugar Acids"
"D","D09","D09.853","Sugar Alcohols"
"D","D09","D09.894","Sugar Phosphates"
"D","D10","D10.150","Ceroid"
"D","D10","D10.212","Fats"
"D","D10","D10.251","Fatty Acids"
"D","D10","D10.289","Fatty Alcohols"
"D","D10","D10.351","Glycerides"
"D","D10","D10.390","Glycolipids"
"D","D10","D10.440","Lipid Peroxides"
"D","D10","D10.460","Lipofuscin"
"D","D10","D10.477","Lipopeptides"
"D","D10","D10.494","Lipopolysaccharides"
"D","D10","D10.532","Lipoproteins"
"D","D10","D10.570","Membrane Lipids"
"D","D10","D10.627","Oils"
"D","D10","D10.695","Phospholipids"
"D","D10","D10.751","Polyhydroxyalkanoates"
"D","D10","D10.808","Sphingolipids"
"D","D10","D10.851","Sterols"
"D","D10","D10.945","Waxes"
"D","D12","D12.125","Amino Acids"
"D","D12","D12.644","Peptides"
"D","D12","D12.776","Proteins"
"D","D13","D13.150","Antisense Elements (Genetics)"
"D","D13","D13.400","Nucleic Acid Precursors"
"D","D13","D13.444","Nucleic Acids"
"D","D13","D13.570","Nucleosides"
"D","D13","D13.695","Nucleotides"
"D","D20","D20.050","Acid Rain"
"D","D20","D20.080","Ambergris"
"D","D20","D20.147","Biofuels"
"D","D20","D20.215","Biological Products"
"D","D20","D20.280","Colloids"
"D","D20","D20.345","Fossil Fuels"
"D","D20","D20.475","Freund's Adjuvant"
"D","D20","D20.538","Lignin"
"D","D20","D20.601","Manure"
"D","D20","D20.633","Particulate Matter"
"D","D20","D20.663","Phytochemicals"
"D","D20","D20.693","Radioactive Pollutants"
"D","D20","D20.721","Soil"
"D","D20","D20.749","Tars"
"D","D20","D20.777","Tissue Extracts"
"D","D20","D20.832","Vehicle Emissions"
"D","D20","D20.888","Venoms"
"D","D20","D20.944","Waste Products"
"D","D23","D23.050","Antigens"
"D","D23","D23.101","Biological Markers"
"D","D23","D23.113","Blood Coagulation Factor Inhibitors"
"D","D23","D23.119","Blood Coagulation Factors"
"D","D23","D23.125","Chemotactic Factors"
"D","D23","D23.297","Host-Derived Cellular Factors"
"D","D23","D23.469","Inflammation Mediators"
"D","D23","D23.529","Intercellular Signaling Peptides and Proteins"
"D","D23","D23.641","Pheromones"
"D","D23","D23.767","Pigments, Biological"
"D","D23","D23.946","Toxins, Biological"
"D","D25","D25.058","Alloys"
"D","D25","D25.130","Biocompatible Materials"
"D","D25","D25.187","Cariogenic Agents"
"D","D25","D25.223","Cariostatic Agents"
"D","D25","D25.264","Ceramics"
"D","D25","D25.339","Dental Materials"
"D","D25","D25.376","Dentifrices"
"D","D25","D25.479","Membranes, Artificial"
"D","D25","D25.583","Mouthwashes"
"D","D25","D25.651","Pharmaceutical Preparations, Dental"
"D","D25","D25.720","Polymers"
"D","D25","D25.800","Root Canal Irrigants"
"D","D25","D25.919","Tissue Adhesives"
"D","D26","D26.049","Controlled Substances"
"D","D26","D26.099","Counterfeit Drugs"
"D","D26","D26.200","Designer Drugs"
"D","D26","D26.255","Dosage Forms"
"D","D26","D26.310","Drug Combinations"
"D","D26","D26.335","Drugs, Chinese Herbal"
"D","D26","D26.355","Drugs, Essential"
"D","D26","D26.360","Drugs, Generic"
"D","D26","D26.371","Drugs, Investigational"
"D","D26","D26.526","Materia Medica"
"D","D26","D26.528","Medical Marijuana"
"D","D26","D26.530","Nonprescription Drugs"
"D","D26","D26.593","Nostrums"
"D","D26","D26.650","Pharmaceutic Aids"
"D","D26","D26.655","Pharmaceutical Preparations, Dental"
"D","D26","D26.660","Placebos"
"D","D26","D26.667","Plant Extracts"
"D","D26","D26.670","Prescription Drugs"
"D","D26","D26.675","Prodrugs"
"D","D26","D26.776","Solutions"
"D","D26","D26.878","Street Drugs"
"D","D26","D26.908","Vaginal Creams, Foams, and Jellies"
"D","D26","D26.939","Veterinary Drugs"
"D","D26","D26.969","Xenobiotics"
"D","D27","D27.505","Pharmacologic Actions"
"D","D27","D27.720","Specialty Uses of Chemicals"
"D","D27","D27.888","Toxic Actions"
"E","E01","E01.110","Delayed Diagnosis"
"E","E01","E01.158","Diagnosis, Computer-Assisted"
"E","E01","E01.171","Diagnosis, Differential"
"E","E01","E01.190","Diagnosis, Dual (Psychiatry)"
"E","E01","E01.354","Diagnostic Errors"
"E","E01","E01.370","Diagnostic Techniques and Procedures"
"E","E01","E01.390","Early Diagnosis"
"E","E01","E01.410","Incidental Findings"
"E","E01","E01.599","Prodromal Symptoms"
"E","E01","E01.789","Prognosis"
"E","E02","E02.037","Acoustic Stimulation"
"E","E02","E02.041","Airway Management"
"E","E02","E02.046","Apitherapy"
"E","E02","E02.056","Balneology"
"E","E02","E02.065","Bariatrics"
"E","E02","E02.075","Bed Rest"
"E","E02","E02.085","Behavior Control"
"E","E02","E02.095","Biological Therapy"
"E","E02","E02.120","Blood Component Removal"
"E","E02","E02.148","Catheterization"
"E","E02","E02.154","Cautery"
"E","E02","E02.168","Chronotherapy"
"E","E02","E02.175","Climatotherapy"
"E","E02","E02.183","Clinical Protocols"
"E","E02","E02.186","Combined Modality Therapy"
"E","E02","E02.190","Complementary Therapies"
"E","E02","E02.218","Cosmetic Techniques"
"E","E02","E02.258","Cryotherapy"
"E","E02","E02.278","Decompression"
"E","E02","E02.288","Delayed Diagnosis"
"E","E02","E02.299","Directly Observed Therapy"
"E","E02","E02.309","Drainage"
"E","E02","E02.319","Drug Therapy"
"E","E02","E02.342","Electric Stimulation Therapy"
"E","E02","E02.365","Emergency Treatment"
"E","E02","E02.393","Endotamponade"
"E","E02","E02.421","Feeding Methods"
"E","E02","E02.467","Fetal Therapies"
"E","E02","E02.514","Hemodilution"
"E","E02","E02.520","Hemostatic Techniques"
"E","E02","E02.533","Hydrotherapy"
"E","E02","E02.547","Hygiene"
"E","E02","E02.565","Hyperthermia, Induced"
"E","E02","E02.574","Individualized Medicine"
"E","E02","E02.583","Insufflation"
"E","E02","E02.585","Intubation"
"E","E02","E02.587","Ischemic Postconditioning"
"E","E02","E02.592","Ischemic Preconditioning"
"E","E02","E02.594","Laser Therapy"
"E","E02","E02.596","Leeching"
"E","E02","E02.600","Lithotripsy"
"E","E02","E02.621","Magnetic Field Therapy"
"E","E02","E02.631","Mechanical Thrombolysis"
"E","E02","E02.642","Nutrition Therapy"
"E","E02","E02.674","Organ Sparing Treatments"
"E","E02","E02.706","Orthokeratologic Procedures"
"E","E02","E02.718","Orthopedic Procedures"
"E","E02","E02.730","Orthoptics"
"E","E02","E02.745","Pain Management"
"E","E02","E02.760","Patient Care"
"E","E02","E02.765","Patient Care Bundles"
"E","E02","E02.770","Patient Isolation"
"E","E02","E02.774","Phototherapy"
"E","E02","E02.779","Physical Therapy Modalities"
"E","E02","E02.785","Placebos"
"E","E02","E02.792","Preservation, Biological"
"E","E02","E02.794","Prosthesis Fitting"
"E","E02","E02.800","Punctures"
"E","E02","E02.815","Radiotherapy"
"E","E02","E02.831","Rehabilitation"
"E","E02","E02.849","Rejuvenation"
"E","E02","E02.860","Remission Induction"
"E","E02","E02.870","Renal Replacement Therapy"
"E","E02","E02.875","Reproductive Techniques"
"E","E02","E02.880","Respiratory Therapy"
"E","E02","E02.887","Retreatment"
"E","E02","E02.891","Rewarming"
"E","E02","E02.895","Salvage Therapy"
"E","E02","E02.897","Secondary Prevention"
"E","E02","E02.900","Self Care"
"E","E02","E02.906","Sex Reassignment Procedures"
"E","E02","E02.912","Sorption Detoxification"
"E","E02","E02.919","Tertiary Prevention"
"E","E02","E02.926","Therapeutic Occlusion"
"E","E02","E02.931","Therapies, Investigational"
"E","E02","E02.950","Therapy, Computer-Assisted"
"E","E02","E02.960","Therapy with Helminths"
"E","E03","E03.091","Analgesia"
"E","E03","E03.155","Anesthesia"
"E","E03","E03.160","Anesthesia Recovery Period"
"E","E03","E03.250","Conscious Sedation"
"E","E03","E03.295","Deep Sedation"
"E","E03","E03.340","Electronarcosis"
"E","E03","E03.545","Hypotension, Controlled"
"E","E03","E03.706","Neuromuscular Blockade"
"E","E03","E03.806","Preanesthetic Medication"
"E","E04","E04.014","Ablation Techniques"
"E","E04","E04.030","Ambulatory Surgical Procedures"
"E","E04","E04.035","Anastomosis, Surgical"
"E","E04","E04.050","Assisted Circulation"
"E","E04","E04.062","Bariatric Surgery"
"E","E04","E04.074","Biopsy"
"E","E04","E04.079","Bloodless Medical and Surgical Procedures"
"E","E04","E04.085","Body Modification, Non-Therapeutic"
"E","E04","E04.100","Cardiovascular Surgical Procedures"
"E","E04","E04.157","Curettage"
"E","E04","E04.166","Cytoreduction Surgical Procedures"
"E","E04","E04.176","Debridement"
"E","E04","E04.188","Decompression, Surgical"
"E","E04","E04.190","Deep Brain Stimulation"
"E","E04","E04.199","Device Removal"
"E","E04","E04.210","Digestive System Surgical Procedures"
"E","E04","E04.221","Dissection"
"E","E04","E04.237","Drainage"
"E","E04","E04.249","Elective Surgical Procedures"
"E","E04","E04.262","Electrosurgery"
"E","E04","E04.270","Endocrine Surgical Procedures"
"E","E04","E04.292","Extracorporeal Circulation"
"E","E04","E04.350","Hemostasis, Surgical"
"E","E04","E04.406","Laparotomy"
"E","E04","E04.426","Ligation"
"E","E04","E04.446","Lymph Node Excision"
"E","E04","E04.466","Mastectomy"
"E","E04","E04.480","Metastasectomy"
"E","E04","E04.494","Microsurgery"
"E","E04","E04.502","Minimally Invasive Surgical Procedures"
"E","E04","E04.506","Minor Surgical Procedures"
"E","E04","E04.510","Monitoring, Intraoperative"
"E","E04","E04.520","Obstetric Surgical Procedures"
"E","E04","E04.525","Neurosurgical Procedures"
"E","E04","E04.540","Ophthalmologic Surgical Procedures"
"E","E04","E04.545","Oral Surgical Procedures"
"E","E04","E04.555","Orthopedic Procedures"
"E","E04","E04.579","Ostomy"
"E","E04","E04.580","Otorhinolaryngologic Surgical Procedures"
"E","E04","E04.584","Pelvic Exenteration"
"E","E04","E04.604","Perioperative Care"
"E","E04","E04.614","Perioperative Period"
"E","E04","E04.625","Prophylactic Surgical Procedures"
"E","E04","E04.650","Prosthesis Implantation"
"E","E04","E04.665","Punctures"
"E","E04","E04.680","Reconstructive Surgical Procedures"
"E","E04","E04.690","Reoperation"
"E","E04","E04.708","Second-Look Surgery"
"E","E04","E04.726","Splenectomy"
"E","E04","E04.749","Surgery, Computer-Assisted"
"E","E04","E04.910","Symphysiotomy"
"E","E04","E04.928","Thoracic Surgical Procedures"
"E","E04","E04.936","Transplantation"
"E","E04","E04.943","Ultrasonic Surgical Procedures"
"E","E04","E04.950","Urogenital Surgical Procedures"
"E","E04","E04.987","Wound Closure Techniques"
"E","E05","E05.003","Accelerometry"
"E","E05","E05.008","Airway Extubation"
"E","E05","E05.017","Animal Experimentation"
"E","E05","E05.035","Animal Identification Systems"
"E","E05","E05.041","Anthropometry"
"E","E05","E05.047","Artifacts"
"E","E05","E05.059","Autoanalysis"
"E","E05","E05.064","Automation, Laboratory"
"E","E05","E05.070","Autopsy"
"E","E05","E05.091","Biological Assay"
"E","E05","E05.104","Biomedical Enhancement"
"E","E05","E05.111","Bioprinting"
"E","E05","E05.114","Bioprospecting"
"E","E05","E05.118","Bone Demineralization Technique"
"E","E05","E05.140","Calibration"
"E","E05","E05.145","Calorimetry"
"E","E05","E05.157","Catheterization"
"E","E05","E05.170","Cementation"
"E","E05","E05.181","Centrifugation"
"E","E05","E05.196","Chemistry Techniques, Analytical"
"E","E05","E05.198","Chromophore-Assisted Light Inactivation"
"E","E05","E05.200","Clinical Laboratory Techniques"
"E","E05","E05.225","Constriction"
"E","E05","E05.235","Containment of Biohazards"
"E","E05","E05.242","Cytological Techniques"
"E","E05","E05.245","Decision Support Techniques"
"E","E05","E05.256","Dermatoglyphics"
"E","E05","E05.263","Diet, Atherogenic"
"E","E05","E05.270","Diet, Cariogenic"
"E","E05","E05.284","Dilatation"
"E","E05","E05.295","Drug Discovery"
"E","E05","E05.298","Ecological Parameter Monitoring"
"E","E05","E05.301","Electrochemical Techniques"
"E","E05","E05.313","Embryo Research"
"E","E05","E05.315","Endpoint Determination"
"E","E05","E05.318","Epidemiologic Methods"
"E","E05","E05.320","Equipment Design"
"E","E05","E05.325","Equipment Failure"
"E","E05","E05.328","Equipment Reuse"
"E","E05","E05.330","Equipment Safety"
"E","E05","E05.333","Ergometry"
"E","E05","E05.335","Euthanasia, Animal"
"E","E05","E05.337","Evaluation Studies as Topic"
"E","E05","E05.349","Fetal Research"
"E","E05","E05.355","Finite Element Analysis"
"E","E05","E05.362","Food Analysis"
"E","E05","E05.377","Fourier Analysis"
"E","E05","E05.393","Genetic Techniques"
"E","E05","E05.417","Hardness Tests"
"E","E05","E05.445","Human Experimentation"
"E","E05","E05.466","Immersion"
"E","E05","E05.472","Immobilization"
"E","E05","E05.478","Immunologic Techniques"
"E","E05","E05.481","In Vitro Techniques"
"E","E05","E05.484","Indicator Dilution Techniques"
"E","E05","E05.490","Interferometry"
"E","E05","E05.497","Intubation"
"E","E05","E05.516","Ischemic Preconditioning"
"E","E05","E05.522","Isotope Labeling"
"E","E05","E05.540","Magnetometry"
"E","E05","E05.559","Manometry"
"E","E05","E05.570","Materials Testing"
"E","E05","E05.581","Methods"
"E","E05","E05.588","Microchip Analytical Procedures"
"E","E05","E05.591","Micromanipulation"
"E","E05","E05.595","Microscopy"
"E","E05","E05.598","Models, Animal"
"E","E05","E05.599","Models, Theoretical"
"E","E05","E05.601","Molecular Probe Techniques"
"E","E05","E05.624","Neoplasm Transplantation"
"E","E05","E05.629","Neuroimaging"
"E","E05","E05.635","Neuromuscular Blockade"
"E","E05","E05.638","Olfactometry"
"E","E05","E05.642","Optical Imaging"
"E","E05","E05.650","Optical Tweezers"
"E","E05","E05.654","Oscillometry"
"E","E05","E05.660","Parabiosis"
"E","E05","E05.680","Perfusion"
"E","E05","E05.696","Photoacoustic Techniques"
"E","E05","E05.712","Photography"
"E","E05","E05.723","Physical Stimulation"
"E","E05","E05.734","Physiognomy"
"E","E05","E05.760","Preservation, Biological"
"E","E05","E05.790","Protein Refolding"
"E","E05","E05.793","Protein Unfolding"
"E","E05","E05.799","Radiometry"
"E","E05","E05.820","Reproductive Techniques"
"E","E05","E05.830","Rheology"
"E","E05","E05.848","Sonication"
"E","E05","E05.855","Sound Spectrography"
"E","E05","E05.873","Stereotaxic Techniques"
"E","E05","E05.885","Substance Abuse Detection"
"E","E05","E05.916","Technology, Pharmaceutical"
"E","E05","E05.920","Technology, Radiologic"
"E","E05","E05.925","Telemetry"
"E","E05","E05.927","Therapeutic Irrigation"
"E","E05","E05.933","Thermometry"
"E","E05","E05.940","Toxicity Tests"
"E","E05","E05.944","Trauma Severity Indices"
"E","E05","E05.959","Wavelet Analysis"
"E","E05","E05.974","Weightlessness Countermeasures"
"E","E05","E05.977","Weightlessness Simulation"
"E","E05","E05.978","Weights and Measures"
"E","E05","E05.979","Whole Body Imaging"
"E","E05","E05.980","Whole-Body Irradiation"
"E","E06","E06.020","Air Abrasion, Dental"
"E","E06","E06.045","Anesthesia, Dental"
"E","E06","E06.070","Dental Atraumatic Restorative Treatment"
"E","E06","E06.095","Dental Bonding"
"E","E06","E06.170","Dental Care"
"E","E06","E06.178","Dental Debonding"
"E","E06","E06.186","Dental Equipment"
"E","E06","E06.208","Dental Health Surveys"
"E","E06","E06.216","Dental High-Speed Technique"
"E","E06","E06.231","Dental Implantation"
"E","E06","E06.261","Dental Models"
"E","E06","E06.276","Dental Occlusion"
"E","E06","E06.292","Dental Pins"
"E","E06","E06.298","Dental Polishing"
"E","E06","E06.308","Dental Stress Analysis"
"E","E06","E06.323","Dentistry, Operative"
"E","E06","E06.342","Diagnosis, Oral"
"E","E06","E06.377","Electrogalvanism, Intraoral"
"E","E06","E06.397","Endodontics"
"E","E06","E06.420","Esthetics, Dental"
"E","E06","E06.470","Infection Control, Dental"
"E","E06","E06.520","Jaw Relation Record"
"E","E06","E06.584","Mouth Rehabilitation"
"E","E06","E06.603","Myofunctional Therapy"
"E","E06","E06.623","Odontometry"
"E","E06","E06.640","Oral Medicine"
"E","E06","E06.645","Oral Surgical Procedures"
"E","E06","E06.658","Orthodontics"
"E","E06","E06.685","Pathology, Oral"
"E","E06","E06.721","Periodontics"
"E","E06","E06.761","Preventive Dentistry"
"E","E06","E06.780","Prosthodontics"
"E","E06","E06.892","Surgery, Oral"
"E","E06","E06.912","Technology, Dental"
"E","E06","E06.931","Tooth Preparation"
"E","E06","E06.950","Tooth Remineralization"
"E","E07","E07.039","Air Filters"
"E","E07","E07.079","Atmosphere Exposure Chambers"
"E","E07","E07.101","Bandages"
"E","E07","E07.115","Bioreactors"
"E","E07","E07.123","Capillary Tubing"
"E","E07","E07.132","Catheters"
"E","E07","E07.161","Compressed Air"
"E","E07","E07.190","Contraceptive Devices"
"E","E07","E07.206","Culture Media"
"E","E07","E07.222","Dental Equipment"
"E","E07","E07.230","Diagnostic Equipment"
"E","E07","E07.241","Diffusion Chambers, Culture"
"E","E07","E07.252","Disposable Equipment"
"E","E07","E07.278","Durable Medical Equipment"
"E","E07","E07.305","Electrical Equipment and Supplies"
"E","E07","E07.315","Emergency Medical Tags"
"E","E07","E07.325","Equipment and Supplies, Hospital"
"E","E07","E07.357","Feminine Hygiene Products"
"E","E07","E07.420","Gamma Cameras"
"E","E07","E07.427","Gas Scavengers"
"E","E07","E07.430","Gastric Balloon"
"E","E07","E07.440","Gravity Suits"
"E","E07","E07.461","Incubators"
"E","E07","E07.490","Infant Equipment"
"E","E07","E07.505","Infusion Pumps"
"E","E07","E07.515","Intermittent Pneumatic Compression Devices"
"E","E07","E07.546","Medicine Chests"
"E","E07","E07.553","Microbubbles"
"E","E07","E07.560","Micropore Filters"
"E","E07","E07.565","Microspheres"
"E","E07","E07.595","Nanospheres"
"E","E07","E07.605","Nebulizers and Vaporizers"
"E","E07","E07.612","Needles"
"E","E07","E07.632","Optical Devices"
"E","E07","E07.652","Oxygenators"
"E","E07","E07.671","Phantoms, Imaging"
"E","E07","E07.695","Prostheses and Implants"
"E","E07","E07.700","Protective Devices"
"E","E07","E07.705","Quantum Dots"
"E","E07","E07.710","Radiation Equipment and Supplies"
"E","E07","E07.715","Radio Frequency Identification Device"
"E","E07","E07.720","Reagent Kits, Diagnostic"
"E","E07","E07.796","Self-Help Devices"
"E","E07","E07.814","Sensory Aids"
"E","E07","E07.858","Surgical Equipment"
"E","E07","E07.862","Surgically-Created Structures"
"E","E07","E07.877","Syringes"
"E","E07","E07.900","Thermometers"
"E","E07","E07.913","Tomography Scanners, X-Ray Computed"
"E","E07","E07.926","Tourniquets"
"E","E07","E07.935","Transdermal Patch"
"E","E07","E07.950","Ventilators, Mechanical"
"E","E07","E07.960","X-Ray Film"
"E","E07","E07.970","X-Ray Intensifying Screens"
"F","F01","F01.058","Adaptation, Psychological"
"F","F01","F01.100","Attitude"
"F","F01","F01.145","Behavior"
"F","F01","F01.318","Child Rearing"
"F","F01","F01.393","Defense Mechanisms"
"F","F01","F01.470","Emotions"
"F","F01","F01.510","Human Characteristics"
"F","F01","F01.525","Human Development"
"F","F01","F01.590","Mental Competency"
"F","F01","F01.658","Motivation"
"F","F01","F01.700","Neurobehavioral Manifestations"
"F","F01","F01.752","Personality"
"F","F01","F01.829","Psychology, Social"
"F","F01","F01.914","Temperance"
"F","F02","F02.410","Mental Competency"
"F","F02","F02.418","Mental Health"
"F","F02","F02.463","Mental Processes"
"F","F02","F02.550","Parapsychology"
"F","F02","F02.600","Personal Autonomy"
"F","F02","F02.694","Psycholinguistics"
"F","F02","F02.739","Psychological Theory"
"F","F02","F02.784","Psychology, Applied"
"F","F02","F02.808","Psychomotor Performance"
"F","F02","F02.830","Psychophysiology"
"F","F02","F02.880","Religion and Psychology"
"F","F02","F02.940","Resilience, Psychological"
"F","F03","F03.075","Adjustment Disorders"
"F","F03","F03.080","Anxiety Disorders"
"F","F03","F03.087","Delirium, Dementia, Amnestic, Cognitive Disorders"
"F","F03","F03.300","Dissociative Disorders"
"F","F03","F03.375","Eating Disorders"
"F","F03","F03.400","Factitious Disorders"
"F","F03","F03.500","Impulse Control Disorders"
"F","F03","F03.550","Mental Disorders Diagnosed in Childhood"
"F","F03","F03.600","Mood Disorders"
"F","F03","F03.650","Neurotic Disorders"
"F","F03","F03.675","Personality Disorders"
"F","F03","F03.700","Schizophrenia and Disorders with Psychotic Features"
"F","F03","F03.800","Sexual and Gender Disorders"
"F","F03","F03.870","Sleep Disorders"
"F","F03","F03.875","Somatoform Disorders"
"F","F03","F03.900","Substance-Related Disorders"
"F","F04","F04.047","Behavior Control"
"F","F04","F04.096","Behavioral Sciences"
"F","F04","F04.408","Mental Health Services"
"F","F04","F04.513","Personality Assessment"
"F","F04","F04.570","Psychiatric Somatic Therapies"
"F","F04","F04.586","Psychiatric Status Rating Scales"
"F","F04","F04.628","Psychoanalytic Interpretation"
"F","F04","F04.669","Psychological Techniques"
"F","F04","F04.711","Psychological Tests"
"F","F04","F04.732","Psychophysics"
"F","F04","F04.754","Psychotherapy"
"F","F04","F04.824","Schizophrenic Psychology"
"G","G01","G01.060","Astronomical Phenomena"
"G","G01","G01.154","Biophysical Phenomena"
"G","G01","G01.249","Elementary Particles"
"G","G01","G01.311","Geological Phenomena"
"G","G01","G01.342","Hydrodynamics"
"G","G01","G01.358","Magnetic Phenomena"
"G","G01","G01.374","Mechanical Phenomena"
"G","G01","G01.590","Optical Phenomena"
"G","G01","G01.595","Physical Processes"
"G","G01","G01.750","Radiation"
"G","G01","G01.906","Thermodynamics"
"G","G01","G01.910","Time"
"G","G02","G02.111","Biochemical Phenomena"
"G","G02","G02.149","Chemical Processes"
"G","G02","G02.300","Hydrogen-Ion Concentration"
"G","G02","G02.575","Molecular Structure"
"G","G02","G02.607","Organic Chemistry Phenomena"
"G","G02","G02.640","Osmolar Concentration"
"G","G02","G02.685","Permeability"
"G","G02","G02.842","Physicochemical Phenomena"
"G","G03","G03.030","Acid-Base Equilibrium"
"G","G03","G03.180","Body Composition"
"G","G03","G03.200","Brain Chemistry"
"G","G03","G03.345","Glycemic Index"
"G","G03","G03.490","Metabolic Clearance Rate"
"G","G03","G03.495","Metabolism"
"G","G03","G03.500","Metabolome"
"G","G03","G03.615","Osmoregulation"
"G","G03","G03.730","Oxygen Consumption"
"G","G03","G03.787","Pharmacokinetics"
"G","G04","G04.170","Cell Count"
"G","G04","G04.172","Cell Lineage"
"G","G04","G04.175","Cell Membrane Permeability"
"G","G04","G04.299","Cell Physiological Processes"
"G","G04","G04.310","Cell Polarity"
"G","G04","G04.320","Cell Shape"
"G","G04","G04.325","Cell Size"
"G","G04","G04.366","Cellular Microenvironment"
"G","G04","G04.434","Endoplasmic Reticulum Stress"
"G","G04","G04.570","Membrane Fluidity"
"G","G04","G04.580","Membrane Potentials"
"G","G04","G04.655","Organelle Shape"
"G","G04","G04.670","Organelle Size"
"G","G05","G05.180","Consanguinity"
"G","G05","G05.232","DNA Transformation Competence"
"G","G05","G05.285","Founder Effect"
"G","G05","G05.330","Gene Frequency"
"G","G05","G05.340","Gene Order"
"G","G05","G05.345","Gene Pool"
"G","G05","G05.347","Genetic Fitness"
"G","G05","G05.350","Genetic Load"
"G","G05","G05.355","Genetic Processes"
"G","G05","G05.360","Genetic Structures"
"G","G05","G05.365","Genetic Variation"
"G","G05","G05.370","Genomic Instability"
"G","G05","G05.380","Genotype"
"G","G05","G05.400","Hybrid Vigor"
"G","G05","G05.420","Inheritance Patterns"
"G","G05","G05.540","Genetic Linkage"
"G","G05","G05.695","Phenotype"
"G","G05","G05.697","Phylogeny"
"G","G05","G05.700","Ploidies"
"G","G05","G05.810","Sequence Homology"
"G","G05","G05.815","Sex Ratio"
"G","G05","G05.820","Structural Homology, Protein"
"G","G05","G05.910","Sympatry"
"G","G06","G06.099","Bacterial Physiological Phenomena"
"G","G06","G06.120","Biofilms"
"G","G06","G06.225","Drug Resistance, Microbial"
"G","G06","G06.320","Germ-Free Life"
"G","G06","G06.580","Microbial Viability"
"G","G06","G06.590","Microbiological Processes"
"G","G06","G06.755","Microbiota"
"G","G06","G06.920","Virus Physiological Phenomena"
"G","G06","G06.930","Virulence"
"G","G07","G07.049","Anatomic Variation"
"G","G07","G07.100","Body Constitution"
"G","G07","G07.110","Body Temperature"
"G","G07","G07.180","Chronobiology Phenomena"
"G","G07","G07.225","Dose-Response Relationship, Radiation"
"G","G07","G07.265","Electrophysiological Phenomena"
"G","G07","G07.280","Fetal Viability"
"G","G07","G07.540","Longevity"
